Quarter,Campus,Item,Course.ID,Title,CREDIT,TYPE.days,Time,Room,Instructor,Enrolled,divider,classCap,Wait.List,FTES.TOTAL,FTES.STATE,Clustered,Type
Fall 2012,North,10,CWE 101  H1,PORTFOLIO JOB SEARCH INT,2,HYBRID - W,2:00 PM,IB 3406,Tanderso ,11,/,25,0,1.5,1.2,0010B232,
Fall 2012,North,11,CWE 102  H2,JOB SHADOW,2,HYBRID - W,12:00 PM,IB 3316,Cancel 6/11,0,/,15,0,0,0,,
Fall 2012,North,12,CWE 110  H1,INTERNSHIP,3,HYBRID - Arr,AR:R M,ARR,Tanderso ,9,/,25,0,1.8,1.6,0010B232,
Fall 2012,North,1006,ART& 100  02,ART APPRECIATION,5,MWF,12:00 PM,LB 1231,Lhull ,23,/,30,0,7.7,4.7,,
Fall 2012,North,1008,ART 101  01,DESIGN,5,MWF,10:00 AM,AS 1530,Kmartensen ,20,/,20,0,6.7,4,,
Fall 2012,North,1010,ART 111  01,DRAWING,5,TTh,9:00 AM,AS 1532,Aknowles ,20,/,20,2,6.7,4.3,,
Fall 2012,North,1011,ART 111  02,DRAWING,5,MW,1:00 PM,AS 1532,Kmartensen ,23,/,20,2,7.7,6.3,,
Fall 2012,North,1012,ART 111  03,DRAWING,5,MW,6:00 PM,AS 1532,Mkelly ,19,/,20,0,6.3,3.7,,
Fall 2012,North,1018,ART 114  01,DIGITAL PHOTOGRAPHY I,5,TTh,12:00 PM,ED 2843B,Eburns ,21,/,20,1,7,4.3,1018B232,
Fall 2012,North,1019,ART 115  01,DIGITAL PHOTOGRAPHY II,5,TTh,12:00 PM,ED 2843B,Eburns ,0,/,0,0,0,0,1018B232,
Fall 2012,North,1020,ART 121  01,INTRO TO PRINTMAKING,5,TTh,1:00 PM,AS 1530,Aknowles ,7,/,20,0,2.3,2,1020B232,
Fall 2012,North,1021,ART 122  01,INTRO TO PRINTMAKING-INT,5,TTh,1:00 PM,AS 1530,Aknowles ,2,/,0,0,0.7,0.7,1020B232,
Fall 2012,North,1022,ART 123  01,PAINTERLY PRINT:MONOTYPE,5,TTh,1:00 PM,AS 1530,Aknowles ,4,/,0,0,1.3,1.3,1020B232,
Fall 2012,North,1026,ART 201  01,PAINTING,5,TTh,1:00 PM,AS 1532,Kmartensen ,15,/,20,0,5,2,1026B232,
Fall 2012,North,1027,ART 202  01,PAINTING,5,TTh,1:00 PM,AS 1532,Kmartensen ,3,/,0,0,1,0.7,1026B232,
Fall 2012,North,1028,ART 203  01,PAINTING,5,TTh,1:00 PM,AS 1532,Kmartensen ,2,/,0,0,0.7,0.7,1026B232,
