Response	Support required Office	Support other program-specific duties?	What other input do you have for the negotiating team and executive board?	What is your primary program/department?	What is the full-time workload in your primary department?	What campus(es) do you work at?
65	Oppose	I oppose any additional duties		ABE	15 hour	SVI
132	Support	I oppose any additional duties	Making an appeal to the law not increasing pay with out increasing duties does not make sense to me. What about the instructors in the state who are doing the same amount of work and getting paid more than ESL/ABE instructors?  Where is the law that says we should be paid the same amount as those who are doing the same work and getting paid more than us?  It sounds like it should be more about changing the category of how we are getting paid to match (or make equitable) that of other instructors at college level. 	ABE	18-20 hour	North
24	Oppose	I oppose any additional duties	"Although it would be slower, I support the legislative approach.  I feel like the ""(...electronic)office hours "" would be honored only in the breach and create a kind of hypocritic ""They're messing with us, so we'll mess with them by saying that we have electronic office hours when in fact we do nothing except grade papers once we leave campus.""  And requiring tutoring or  ??Educational interviews??  sounds a lot like more work to me (and who's going to keep track?) Which is what they want.  The current system may be unfair compared to other departments, but at least it's unambiguous.   "	ABE-ESL	18-20 hour	North
123	Oppose	I oppose any additional duties	"The main problem with this ""solution"" is that it does nothing to make progress on workload equity. Increasing pay by increasing workload doesn't affect workload inequity in even the slightest way. ABE/ESL part-time faculty will still be working more per dollar than everyone else. This solution does offer ABE/ESL part-time faculty an opportunity to make more money, but let’s not kid ourselves that inequity is being addressed.
This is like saying we’re going to improve the Seattle traffic problem by widening I-5 and adding more cars! Yes, a change will be made. Yes, more cars will pass through Seattle. But has the traffic problem been addressed? No, it hasn’t.
And as for the “con” that this proposal “Creates disparity between part-time faculty groups,” disparity already exists between part-time faculty groups; that’s why this proposal is even being made in the first place.
"	ABE/ESL	18-20 hour	North
136	Support	Educational interviews,Tutoring		ABE/ESL	18-20 hour	North
145	Oppose	I oppose any additional duties		Academic Programs		South
27	Support	Educational interviews,Tutoring	I have never felt this workload equity was a top priority.  	Academic Programs	15 hour	South
58	Oppose			Academic Programs	15 hour	South
74	Oppose	I oppose any additional duties		Academic Programs	15 hour	South
111	Support	Tutoring		Academic Programs		South
72	Support	I oppose any additional duties		English	15 hour	Central,North
10	Support	I oppose any additional duties	Fix the SVI vs the other campuses full time hours.  Why is SVI almost one third more?  This situation is far more unfair than the ESL/ABE situation.	Allied Health		SVI
32	Oppose	I oppose any additional duties		Allied Health	25 hour	SVI
140	Support	I oppose any additional duties	As a new adjunct faculty I was surprised to find that there was no minimum required office hours for part time faculty.  The other two schools I've worked at (out of state) required 1 office hour a week per course.	Arts, Humanities and Social Sciences		North
51	Support	Educational interviews,Tutoring		B&TS	18-20 hour	South,New Holly
38	Support	Educational interviews,Tutoring		B&TS	18-20 hour	South
53	Support	I oppose any additional duties		B&TS	18-20 hour	South
150	Support	Other (please specify in final question)	Cutting health care benefits for PT is going to cause people to leave.  I use a different health plan, but I would strike in soladarity.  &TS runs on past time faculty. ABOVE -What final ?	B&TS	25 hour	South
120	Support			B&TS	18-20 hour	North
66		Other (please specify in final question)		B&TS	18-20 hour	South,Georgetown
45	Support	I oppose any additional duties		B&TS	18-20 hour	North
71	Oppose	Tutoring		B&TS	18-20 hour	North
82	Oppose			B&TS	15 hour	South
86	Support	I oppose any additional duties		B&TS	18-20 hour	South
108	Support	Educational interviews,Other (please specify in final question)	I am already providing advising for ESL students because they often stay after class seeking help.  ESL students often rely on faculty to help them rather than go to an office because faculty is often more skilled at working with non-native English speakers and students tell us that they feel more comfortable seeking help from us. 	B&TS	18-20 hour	Central
139	Support	I oppose any additional duties	"None about this. 
As a part-timer, though, I'm very worried about my health benefits and keeping them for my family. "	B&TS	18-20 hour	North
87	Support	I oppose any additional duties		B&TS	18-20 hour	Central
4	Support	I oppose any additional duties		B&TS	18-20 hour	Central
17	Oppose	I oppose any additional duties		B&TS	18-20 hour	South
43	Oppose	I oppose any additional duties	We already have duties added on gradually as the quarters/years go on.  If duties (listed in the above 2 items) are added on, then pay needs to be improved.	B&TS	18-20 hour	Central
68	Support	Other (please specify in final question)	office hours / room preparation / student assistance outside of class / paperwork / grading / committees / coordination / testing -- many things are done that can be considered as this extra time and duties.	B&TS	18-20 hour	South
118	Support	I oppose any additional duties		BEIT	15 hour	North
125	Oppose	I oppose any additional duties		BEIT		North
133	Oppose	Tutoring	When I have tutored students it was based on a mutually agreed time. Specific office hours might not meet the needs of the students we are trying to help....To a following question, I am a part time instructor and don't know how many hours are considered full time.	Real Estate		North
129	Support	I oppose any additional duties		Biology		Central
1	Oppose	I oppose any additional duties	Pay us for the time work	BIT	15 hour	South
55	Support	I oppose any additional duties		BIT	15 hour	South
113	Support	I oppose any additional duties		BIT	18-20 hour	South
117	Support	Educational interviews	What about priortized workload equity for other PTers across campuses? I do not receive any additional benefits or pay for workloads over and above teaching. 	BIT	18-20 hour	South
21	Oppose	I oppose any additional duties	Additional duties need to be accompanied with additional and fully competitive pay. Part-timers already do NOT get enough work hours, no benefits, no chance at priority hire status, and in over 4 years, no increase in salary. NO FREEBIES!	BITCA	15 hour	Central
84	Support	Tutoring		B&TS	18-20 hour	South
92	Support	Tutoring		B&TS	18-20 hour	South
11	Support	Tutoring		BTSD	18-20 hour	Central
106	Support	Tutoring		BTSD 	18-20 hour	Central
23	Support	I oppose any additional duties		Business	15 hour	North
28	Support	I oppose any additional duties		Business	15 hour	North
5	Oppose	I oppose any additional duties	Additional duties defeat the purpose of equity.	Chemistry	18-20 hour	North
42	Oppose	I oppose any additional duties	part-time educators already do alot of additional work besides scheduled hours.	Cosmetology	30 hour	Central
91	Oppose	Tutoring		Cosmetology	18-20 hour	Central,SVI
97	Oppose	I oppose any additional duties		counseling	30 hour	North
102	Oppose		Part-time faculty often work at 2 or more other colleges.  I work 6-7 days a week and could not possible do other duties on top of that.  In addition, for people who teach online, they are not on campus to do these duties.	dental hygiene		Central
130	Support	I oppose any additional duties		Education	25 hour	Central
127	Oppose	I oppose any additional duties		Engineering	15 hour	South
19	Oppose		"I suggest required professional development hours as extra duties.
This is a win/win for all parties."	English	15 hour	North
26	Support	I oppose any additional duties		English	30 hour	North
36	Support	I oppose any additional duties		English	15 hour	South
78	Support		"Office hours seem the simplest, most direct way of ""justifying"" this pay increase, which I fully support."	English	15 hour	North
83	Support	I oppose any additional duties		English	15 hour	South
61	Support	I oppose any additional duties		English/Humanities		Central
79	Oppose	I oppose any additional duties	Don't reduce health benefits	English/Humanities		Central
6	Support	I oppose any additional duties		ESL	18-20 hour	Central
50	Oppose	I oppose any additional duties,Other (please specify in final question)	What kind of equality is it, if we would be required to work even more for less pay? The pro-rated calculated amount of office hours would create a 27.5% workload increase compared to current workload (which is 10 instructional hours per week for part-time instructors that currently is %50 from full-time ESL workload).	ESL	18-20 hour	North
