yrs	salary
10	59767.00
4	57549.00
4	57687.00
4	57687.00
5	57730.00
15	58329.00
9	58460.00
15	58506.00
11	59833.00
24	62664.00
23	63142.00
1	54211.00
1	55984.00
14	57834.00
13	58187.00
22	58273.00
4	58573.00
7	59348.00
10	59684.00
10	59688.00
18	60298.00
16	60888.00
4	57621.00
5	57838.00
7	57858.00
23	64991.00
24	66315.00
10	56743.00
24	63007.00
1	55984.00
10	58289.00
8	57953.00
9	58460.00
22	67164.00
33	70687.00
4	57687.00
4	57687.00
7	58460.00
4	58584.00
17	61271.00
21	62889.00
19	66983.00
24	73395.08
15	58348.00
28	65354.00
