JOB,BASE SALARY,SRV YEARS ,PROG SYMBOL,PROGRAM,WEEKLY LOAD ,LAB
FTF ABE GENERAL,56049,3,ABE,ADULT BASIC EDUCATION,20,N
FTF ABE GENERAL,57557,5,ABE,ADULT BASIC EDUCATION,20,N
FTF ABE GENERAL,59064,12,ABE,ADULT BASIC EDUCATION,20,N
FTF ABE GENERAL,60420,16,ABE,ADULT BASIC EDUCATION,20,N
FTF ABE GENERAL,66338,21,ABE,ADULT BASIC EDUCATION,20,N
FTF ACCOUNTING,58183,1,ACC/BUS,BUSINESS,20,p
FTF ACCOUNTING,56079,2,ACC/BUS,BUSINESS,20,p
FTF ACCOUNTING,57235,12,ACC/BUS,BUSINESS,20,p
FTF ACCOUNTING,57795,14,ACC/BUS,BUSINESS,20,p
FTF ACCOUNTING,57953,8,ACC/BUS,BUSINESS,20,Y
FTF ACCOUNTING,74904,24,ACC/BUS,BUSINESS,20,p
FTF AEROSPACE ELECTRONICS,55984,1,EET,ELECTRICAL ENGINEERING ,20,Y
FTF ALLIED HEALTH ED,57773,5,AHE,ALLIED HEALTH,20,N
FTF AMERICAN SIGN LANGUAGE,59022,10,ASL,AMERICAN SIGN LANGUAGE ,15,N
FTF ANTHROPOLOGY,64626,24,ANT,ANTHROPOLOGY,15,N
FTF ANTHROPOLOGY,66966,21,ANT,ANTHROPOLOGY,15,N
FTF ANTHROPOLOGY,67413,22,ANT,ANTHROPOLOGY,15,N
FTF APPAREL DESIGN & SRVCS,57827,5,ADS,APPAREL DESIGN,20,N
FTF APPAREL DESIGN & SRVCS,66414,24,ADS,APPAREL DESIGN,20,N
FTF APPLICATION DEV. BAS,60515,2,BAS,,18,N
FTF APPLIED BEHAVIORAL SCI,57687,3,BAS,,18,Y
FTF APPLIED SCIENCES,56079,3,BAS,,18,N
FTF APPLIED SCIENCES,60241,4,BAS ,,18,N
FTF ARCHITECUTRAL/ENGR DRF,58460,9,TDR,DRAFTING ,20,Y
FTF ART,57621,4,ART,ART,18,Y
FTF ART,57838,5,ART,ART,18,Y
FTF ART,57858,7,ART,ART,18,Y
FTF ART,64991,23,ART,ART,18,Y
FTF ASSOCIATE DEGREE NURSE,57622,5,NUR,NURSING ,18,N
FTF ASSOCIATE DEGREE NURSE,74057,27,NUR,NURSING ,18,N
FTF AUTO MECHANIC,56144,3,AUT,AUTOMOTIVE ,25,N
FTF AUTO MECHANIC,60544,11,AUT,AUTOMOTIVE ,25,N
FTF AUTO MECHANIC,66409,24,AUT,AUTOMOTIVE ,25,N
FTF AVIATION MAINTENANCE,55897,7,AMT,AVIATION MAINTENANCE TECH,25,N
FTF AVIATION MAINTENANCE,57579,4,AMT,AVIATION MAINTENANCE TECH,25,N
FTF AVIATION MAINTENANCE,57579,4,AMT,AVIATION MAINTENANCE TECH,25,N
FTF BARBERING/COSMETOLOGY,55853,15,COS,COSMETOLOGY ,25,N
FTF BIO ANATOMY & PHYSIOL,59767,10,LFS,LIFE SCIENCES ,18,Y
FTF BIOLOGY,57549,4,LFS,LIFE SCIENCES ,18,Y
FTF BIOLOGY,57687,4,LFS,LIFE SCIENCES ,18,Y
FTF BIOLOGY,57687,4,LFS,LIFE SCIENCES ,18,Y
FTF BIOLOGY,57730,5,LFS,LIFE SCIENCES ,18,Y
FTF BIOLOGY,58329,15,LFS,LIFE SCIENCES ,18,Y
FTF BIOLOGY,58460,9,LFS,LIFE SCIENCES ,18,Y
FTF BIOLOGY,58506,15,LFS,LIFE SCIENCES ,18,Y
FTF BIOLOGY,59833,11,LFS,LIFE SCIENCES ,18,Y
FTF BIOLOGY,62664,24,LFS,LIFE SCIENCES ,18,Y
FTF BIOLOGY,63142,23,LFS,LIFE SCIENCES ,18,Y
FTF BUS. INFORMATION TECH,58806,2,BUS,BUSINESS,18,N
FTF BUS. INFORMATION TECH,59672,10,BUS,BUSINESS,18,N
FTF BUS. INFORMATION TECH,62209,4,BUS,BUSINESS,18,N
FTF BUS. INFORMATION TECH,75322,25,BUS,BUSINESS,18,N
FTF BUSINESS,55984,1,BUS,BUSINESS,18,N
FTF BUSINESS,56144,3,BUS,BUSINESS,18,N
FTF BUSINESS,57549,4,BUS,BUSINESS,18,N
FTF BUSINESS,57910,8,BUS,BUSINESS,18,N
FTF BUSINESS,57967,24,BUS,BUSINESS,18,N
FTF BUSINESS & ACCOUNTING,50630.4,25,BUS,BUSINESS,18,N
FTF BUSINESS & ACCOUNTING,62540,30,BUS,BUSINESS,18,N
FTF CHEMISTRY,54211,1,PHS,PHYSICAL SCIENCES ,18,Y
FTF CHEMISTRY,55984,1,PHS,PHYSICAL SCIENCES ,18,Y
FTF CHEMISTRY,57834,14,PHS,PHYSICAL SCIENCES ,18,Y
FTF CHEMISTRY,58187,13,PHS,PHYSICAL SCIENCES ,18,Y
FTF CHEMISTRY,58273,22,PHS,PHYSICAL SCIENCES ,18,Y
FTF CHEMISTRY,58573,4,PHS,PHYSICAL SCIENCES ,18,Y
FTF CHEMISTRY,59348,7,PHS,PHYSICAL SCIENCES ,18,Y
FTF CHEMISTRY,59684,10,PHS,PHYSICAL SCIENCES ,18,Y
FTF CHEMISTRY,59688,10,PHS,PHYSICAL SCIENCES ,18,Y
FTF CHEMISTRY,60298,18,PHS,PHYSICAL SCIENCES ,18,Y
FTF CHEMISTRY,60888,16,PHS,PHYSICAL SCIENCES ,18,Y
FTF CHILD & FAMILY STUDIES,54211,1,CCE,EARLY CHILD CARE AND EDUCATION ,20,N
FTF CHORAL MUSIC,66315,24,MUS,MUSIC,18,Y
FTF COMMUNICATIONS,56079,2,CMN,COMMUNICATIONS ,15,N
FTF COMPUTER INFOR SYSTEMS,74202,31,ITC/Multiples,INFORMATION TECHNOLOGIES ,15,p
FTF COMPUTER SCIENCE,59461,4,CSC/CTN,COMPUTER SCIENCE TRANSFER/COMPUTER TECHNOLOGY ,15,p
FTF COMPUTER SCIENCE,63800,31,CSC/CTN,COMPUTER SCIENCE TRANSFER/COMPUTER TECHNOLOGY ,15,p
FTF COMPUTER SCIENCE,65465,17,CSC/CTN,COMPUTER SCIENCE TRANSFER/COMPUTER TECHNOLOGY ,15,p
FTF COMPUTER SCIENCE,74285,23,CSC/CTN,COMPUTER SCIENCE TRANSFER/COMPUTER TECHNOLOGY ,15,p
FTF COMPUTING/COMPUTERS,63712,25,ITC,INFORMATION TECHNOLOGIES ,15,p
FTF COOKING,57814,5,HOS,HOSPITATLITY ,25,N
FTF COOKING,59195,9,HOS,HOSPITATLITY ,25,N
FTF COOKING,72788,32,HOS,HOSPITATLITY ,25,N
FTF COUNSELORS,52543,4,COU,COUNSELING ,30,N
FTF COUNSELORS,55984,1,COU,COUNSELING ,30,N
FTF COUNSELORS,56013,10,COU,COUNSELING ,30,N
FTF COUNSELORS,58623,13,COU,COUNSELING ,30,N
FTF COUNSELORS,58650,14,COU,COUNSELING ,30,N
FTF COUNSELORS,60384,15,COU,COUNSELING ,30,N
FTF COUNSELORS,61749,18,COU,COUNSELING ,30,N
FTF COUNSELORS,61948,19,COU,COUNSELING ,30,N
FTF COUNSELORS,63331,17,COU,COUNSELING ,30,N
FTF COUNSELORS,64970,27,COU,COUNSELING ,30,N
FTF COUNSELORS,66096,18,COU,COUNSELING ,30,N
FTF COUNSELORS,70741,25,COU,COUNSELING ,30,N
FTF COUNSELORS,71987,46,COU,COUNSELING ,30,N
FTF COUNSELORS,74285,31,COU,COUNSELING ,30,N
FTF CULINARY,57622,6,HOS,HOSPITATLITY ,25,N
FTF CULINARY,57922,5,HOS,HOSPITATLITY ,25,N
FTF CULINARY,58809,5,HOS,HOSPITATLITY ,25,N
FTF CULINARY,59767,9,HOS,HOSPITATLITY ,25,N
FTF CULINARY,61200,22,HOS,HOSPITATLITY ,25,N
FTF CULINARY,61867,23,HOS,HOSPITATLITY ,25,N
FTF CULINARY,63560,18,HOS,HOSPITATLITY ,25,N
FTF DENTAL HYGIENCE,57269,11,DHY,DENTAL HYGIENE,18,N
FTF DENTAL HYGIENCE,63844,12,DHY,DENTAL HYGIENE,18,N
FTF DENTAL HYGIENCE,66269,12,DHY,DENTAL HYGIENE,18,N
FTF DEVELOPMENT COORD.,58382,7,N/A,N/A,30,N
FTF DEVELOPMENTAL ENGLISH,71700,29,ENG,ENGLISH ,15,N
FTF DEVELOPMENTAL MATH,68046,21,MAT,MATHEMATICS ,18,N
FTF DRAMA,56743,10,DRA,DRAMA,18,Y
FTF DRAMA,63007,24,DRA,DRAMA,18,Y
FTF EARLY CHILD CARE & ED,56079,2,CCE,EARLY CHILD CARE AND EDUCATION ,20,N
FTF EARLY CHILD CARE & ED,65368,24,CCE ,EARLY CHILD CARE AND EDUCATION ,20,N
FTF ECONOMICS,59767,10,ECO,ECONOMICS ,15,N
FTF ECONOMICS,73376,28,ECO,ECONOMICS ,15,N
FTF ECONOMICS,74179,26,ECO,ECONOMICS ,15,N
FTF ELECTRONICS TECHNOLOGY,67657,19,EET,ELECTRICAL ENGINEERING ,20,N
FTF EMERGENCY MED. TECH.,56079,4,EMT,EMERGENCY MED TECH,25,N
FTF ENGINEERING,66769,3,EGR,ENGINEERING ,20,N
FTF ENGINEERING,71881,26,EGR,ENGINEERING ,20,N
FTF ENGLISH,55096,1,ENG,ENGLISH ,15,N
FTF ENGLISH,55913,4,ENG,ENGLISH ,15,N
FTF ENGLISH,55984,1,ENG,ENGLISH ,15,N
FTF ENGLISH,55984,1,ENG,ENGLISH ,15,N
FTF ENGLISH,55984,2,ENG,ENGLISH ,15,N
FTF ENGLISH,56079,2,ENG,ENGLISH ,15,N
FTF ENGLISH,56079,2,ENG,ENGLISH ,15,N
FTF ENGLISH,56079,3,ENG,ENGLISH ,15,N
FTF ENGLISH,56079,3,ENG,ENGLISH ,15,N
FTF ENGLISH,56210,13,ENG,ENGLISH ,15,N
FTF ENGLISH,56597,12,ENG,ENGLISH ,15,N
