Quarter,Campus,Item,Course.ID,Title,CREDIT,TYPE.days,Time,Room,Instructor,Enrolled,divider,classCap,Wait.List,FTES.TOTAL,FTES.STATE,Clustered,Type
Fall 2012,South,4,ART 101  01,DESIGN-COLOR,5,MW,9:00 AM,RSB0017A,Lantz ,18,/,25,0,6,3,0004B232,
Fall 2012,South,5,ART 102  01,DESIGN-COLOR,5,MW,9:00 AM,RSB0017A,Lantz ,2,/,25,0,0.7,0.3,0004B232,
Fall 2012,South,7,ART 299  01,SPECIAL PROBLEMS IN ART,5,Arr,AR:R M,TBA,Lantz ,7,/,5,0,0,0,0004B232,
Fall 2012,South,11,ART 111  01,DRAWING,5,MW,12:00 PM,RSB0017A,Lantz ,22,/,25,0,7.3,5.7,0011B232,
Fall 2012,South,12,ART 112  01,DRAWING,5,MW,12:00 PM,RSB0017A,Lantz ,3,/,25,0,1,0.7,0011B232,
Fall 2012,South,14,ART 299  02,SPECIAL PROBLEMS IN ART,5,Arr,AR:R M,TBA,Lantz ,4,/,5,0,0,0,0011B232,
Fall 2012,South,15,ART 170  01,PHOTOGRAPHY AS AN ART,5,MWF,8:00 AM,OLY0102,Nelson ,20,/,25,0,6.7,5.3,0015B232,
Fall 2012,South,18,ART 201  01,PAINTING,5,TTh,12:00 PM,RSB0017A,Lantz ,18,/,25,0,6,5,0018B232,
Fall 2012,South,19,ART 202  01,PAINTING,5,TTh,12:00 PM,RSB0017A,Lantz ,4,/,25,0,1.3,0.7,0018B232,
Fall 2012,South,21,ART 205  01,WATER COLOR PAINTING,5,TTh,12:00 PM,RSB0017A,Lantz ,3,/,25,0,1,0.7,0018B232,
Fall 2012,South,24,ART 299  04,SPECIAL PROBLEMS IN ART,5,Arr,AR:R M,TBA,Lantz ,8,/,5,0,0.5,0.1,0018B232,
Fall 2012,South,27,ART 210  01,COMPUTER ART,5,HYBRID - TTh,12:00 PM,OLY0102,Koutsky ,18,/,25,0,6,5,0027B232,
Fall 2012,South,29,ART 215  01,ADV COMPUTER ART II,5,HYBRID - TTh,12:00 PM,OLY0102,Koutsky ,2,/,25,0,0.7,0.3,0027B232,
Fall 2012,South,30,ART 299  05,SPECIAL PROBLEMS IN ART,5,HYBRID - Arr,AR:R M,TBA,Koutsky ,2,/,5,0,0.1,0.1,0027B232,
Fall 2012,South,31,ART 211  01,SCULPTURE,5,MW,11:00 AM,RAH0111,Lobb ,4,/,25,0,1.3,1,0031B232,
Fall 2012,South,33,ART 213  01,SCULPTURE,5,MW,11:00 AM,RAH0111,Lobb ,1,/,25,0,0.3,0,0031B232,
Fall 2012,South,34,ART 221  01,CERAMICS,5,MW,11:00 AM,RAH0111,Lobb ,15,/,25,0,5,5,0031B232,
Fall 2012,South,36,ART 223  01,POTTERY/CERAMICS,5,MW,11:00 AM,RAH0111,Lobb ,1,/,25,0,0.3,0.3,0031B232,
