Winter 2013,SVI,1313,ABE 032  01,ABE LVL 3 COMM SKILLS,5,TWThF,11:30 AM,SVI0315,"Tabor, kamal",15,/,25,0,5,5,
Winter 2013,SVI,1312,ABE 041  01,ABE LEVEL 4 MATH,5,TWThF,10:15 AM,SVI0315,"Tabor, kamal",18,/,25,0,6,6,
Winter 2013,SVI,1311,ABE 042  01,ABE LVL 4 COMM SKILLS,5,TWThF,9:00 AM,SVI0315,"Tabor, kamal",16,/,25,0,5.3,5.3,
Winter 2013,SVI,3630,ACT 110  01,ACCOUNTING I,8,TWThF,8:00 AM,SVI0506,Cancel 12/12,0,/,30,0,0,0,
Winter 2013,SVI,3632,ACT 130  01,COMPUTERIZED ACCOUNTING,4,TWThF,8:00 AM,SVI0506,Cancel 12/12,0,/,30,0,0,0,
Winter 2013,SVI,3811,AHD 160  01,CLINICAL PROCEDURES I,10,WTh,8:00 AM,SVI0404,"Mar, haydon ",16,/,20,0,10.7,10,
Winter 2013,SVI,3812,AHD 161  01,RADIOLOGY SCIENCE,4,MTF,8:00 AM,SVI0414,Y.blake-mart,16,/,15,0,4.3,4,
Winter 2013,SVI,3813,AHD 162  01,RADIOLOGY LABORATORY,4,MTF,8:00 AM,SVI0404,Camden m ,16,/,15,0,4.3,4,
Winter 2013,SVI,3818,AHD 190  01,JOB SEEKING SKILLS I,2,MWThF,8:00 AM,SVI0404,Camden m ,17,/,20,0,1.7,1.7,
Winter 2013,SVI,3819,AHD 192  01,DENTAL ASST MAN CLINICAL,16,DAILY,8:00 AM,SVI0404,Camden m ,17,/,20,0,18.7,18.7,
Winter 2013,SVI,4100,AHL 100  03,STRAT FOR SUCCESS MA STU,1,T,11:00 AM,SVI0509,"Lichty, deni",20,/,30,0,1.3,1.3,
Winter 2013,SVI,4118,AHL 101  01,HEALTH CARE PROVIDER CPR,0,W,8:00 AM,SVI0601,"Thompson, p ",14,/,12,0,0.5,0.5,
Winter 2013,SVI,4117,AHL 105  01,HIV/AIDS TRAINING,0,WTh,8:00 AM,SVI0601,"Thompson, p ",13,/,25,0,0.4,0.4,
Winter 2013,SVI,4102,AHL 111  01,ANAT/PHYSIOLOGY/PATHO I,6,TWThF,8:00 AM,SVI0416,"Cox, pamela ",27,/,28,0,10.8,10.4,
Winter 2013,SVI,4107,AHL 112  01,ANAT/PHYSIOLOGY/PATHO II,6,TTh,11:00 AM,SVI0416,"Cox, pamela ",20,/,25,0,8,7.2,
Winter 2013,SVI,4621,AHL 113  01,MEDICAL TERMINOLOGY,6,TWThF,8:00 AM,SVI0502,Cancel 12/12,0,/,28,0,0,0,
Winter 2013,SVI,4103,AHL 113  01,MEDICAL TERMINOLOGY,6,TWThF,9:30 AM,SVI0416,"Cox, pamela ",20,/,28,0,8,8,
Winter 2013,SVI,4622,AHL 123  02,INSURANCE AND CODING,2,TTh,9:30 AM,SVI0502,Cancel 12/12,0,/,25,0,0,0,
Winter 2013,SVI,4114,AHL 123  01,INSURANCE AND CODING,2,WF,9:30 AM,SVI0417,"Ouattara, ga",11,/,25,0,1.5,1.5,
Winter 2013,SVI,4112,AHL 124  01,MEDICAL OFFICE FINANCES,2,WF,11:00 AM,SVI0505,Ferguson t ,11,/,25,0,1.8,1.8,
Winter 2013,SVI,4120,AHL 125  01,MEDICAL OFFICE SIMULATIO,2,TWThF,8:00 AM,SVI0410,Ferguson t ,15,/,25,0,2.5,2.5,
Winter 2013,SVI,4106,AHL 126  01,RECEPTION/SCHED/MED RECD,2,WF,8:00 AM,SVI0417,"Rullan, brya",20,/,28,0,2.7,2.4,
Winter 2013,SVI,4623,AHL 126  03,RECEPTION/SCHED/MED RECD,2,WF,9:30 AM,SVI0502,Cancel 12/12,0,/,28,0,0,0,
Winter 2013,SVI,4119,AHL 128  01,LAW AND ETHICS,3,TWThF,9:30 AM,SVI0601,"Rullan, brya",15,/,25,0,3,3,
Winter 2013,SVI,4111,AHL 142  01,MEDICAL COMPUTER APPL,2,WF,2:30 PM,SVI0505,"Villars, d ",11,/,25,0,1.5,1.5,
Winter 2013,SVI,4624,AHL 143  01,MEDICAL COMPUTER APP.,3,TTh,1:00 PM,SVI0505,Cancel 12/12,0,/,28,0,0,0,
Winter 2013,SVI,4113,AHL 161  01,PHARMACOLOGY PRINCIPLES,2,TTh,8:00 AM,SVI0409,"Blazina,s ",11,/,25,0,1.8,1.8,
Winter 2013,SVI,4625,AHL 178  01,CLINICAL EXPERIENCE FUND,3,WF,1:00 PM,SVI0601,Cancel 12/12,0,/,30,0,0,0,
Winter 2013,SVI,4109,AHL 180  01,CLINICAL I,8,WF,9:30 AM,SVI0409,"Pena, jaime ",20,/,25,0,10.7,9.6,
Winter 2013,SVI,4110,AHL 183  01,CLINICAL II,8,TTh,9:30 AM,SVI0417,"Blazina,s ",14,/,25,0,7.5,7.5,
Winter 2013,SVI,4116,AHL 190  01,CLINICAL REVIEW EXAM PRP,8,TWThF,11:00 AM,SVI0601,"Rullan, brya",14,/,25,0,7.9,7.9,
Winter 2013,SVI,4121,AHL 192  01,MED ASSIST MAND CLINICAL,5,TWThF,8:00 AM,SVI0601,"Rullan, brya",14,/,25,0,4.7,4.7,
Winter 2013,SVI,4105,BCT 111  03,COMP LITERACY APPL FUND,2,TTh,2:30 PM,SVI0410,"Kamarainen,d",18,/,30,0,2.4,2.4,
